,factscore,rev-factscore,r1,r2,rl,rlsum,n_facts
bb-01-11-07,0.5076923076923077,0.5918367346938775,51.593323216995444,17.047184170471844,21.547799696509866,49.77238239757209,65.0
atwt-01-17-07,0.25,0.5555555555555556,39.77485928705441,10.169491525423728,19.51219512195122,37.89868667917448,64.0
gl-01-14-05,0.49382716049382713,0.8888888888888888,36.468330134357004,6.551059730250482,15.738963531669864,32.629558541266796,81.0
bb-04-28-06,0.3125,0.5,47.893569844789354,12.026726057906458,23.05986696230599,45.67627494456762,32.0
bb-05-01-06,0.3283582089552239,0.16666666666666666,48.63945578231292,14.675767918088736,20.40816326530612,45.91836734693878,67.0
gl-02-22-05,0.42028985507246375,0.7307692307692307,51.30890052356021,11.548556430446194,19.10994764397906,49.21465968586388,69.0
atwt-02-17-06,0.5333333333333333,0.7142857142857143,41.47286821705427,5.836575875486381,17.829457364341085,37.5968992248062,75.0
gl-01-31-05,0.3287671232876712,0.5789473684210527,45.640074211502785,8.56610800744879,20.037105751391472,44.526901669758814,73.0
atwt-05-10-06,0.4,0.5128205128205128,53.67647058823529,19.41031941031941,22.54901960784314,52.94117647058824,55.0
atwt-09-14-06,0.3559322033898305,0.5416666666666666,37.17171717171717,10.547667342799189,20.2020202020202,34.74747474747475,59.0
bb-05-15-06,0.30357142857142855,0.5789473684210527,50.482315112540185,14.838709677419354,20.90032154340836,48.553054662379424,56.0
gl-02-14-05,0.42857142857142855,0.4642857142857143,41.726618705035975,13.153153153153156,17.625899280575542,40.46762589928058,70.0
